Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	CHEBI:59080	IAO:0000115	An N-glycan residue involved in post-translational modification of proteins.	
ERROR	duplicate_definition	CHEBI:59082	IAO:0000115	An N-glycan residue involved in post-translational modification of proteins.	
ERROR	duplicate_definition	SO:0001914	IAO:0000115	A DNA motif that is found in eukaryotic rDNA repeats, and is a site of replication fork pausing.	
ERROR	duplicate_definition	SO:0002021	IAO:0000115	A DNA motif that is found in eukaryotic rDNA repeats, and is a site of replication fork pausing.	
ERROR	deprecated_property_reference	RO:0002218	owl:inverseOf	RO:0002217	
ERROR	missing_label	oboInOwl:Subset	rdfs:label		
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/fypo/src/ontology/import-statements.owl	dc11:description		
ERROR	duplicate_label	BFO:0000019	rdfs:label	quality	
ERROR	duplicate_label	PATO:0000001	rdfs:label	quality	
ERROR	duplicate_label	CHEBI:36080	rdfs:label	protein	
ERROR	duplicate_label	PR:000000001	rdfs:label	protein	
ERROR	duplicate_label	BFO:0000050	rdfs:label	part_of	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/so#part_of	rdfs:label	part_of	
ERROR	duplicate_label	RO:0002131	rdfs:label	overlaps	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/so#overlaps	rdfs:label	overlaps	
ERROR	duplicate_label	RO:0000086	rdfs:label	has_quality	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/so#has_quality	rdfs:label	has_quality	
ERROR	duplicate_label	BFO:0000051	rdfs:label	has_part	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/so#has_part	rdfs:label	has_part	
ERROR	duplicate_label	RO:0001000	rdfs:label	derives_from	
ERROR	duplicate_label	http://purl.obolibrary.org/obo/so#derives_from	rdfs:label	derives_from	
ERROR	duplicate_label	GO:0005694	rdfs:label	chromosome	
ERROR	duplicate_label	SO:0000340	rdfs:label	chromosome	
ERROR	duplicate_label	CARO:0000014	rdfs:label	cell part@en	
ERROR	duplicate_label	GO:0044464	rdfs:label	cell part@en	
ERROR	duplicate_label	CL:0000000	rdfs:label	cell	
ERROR	duplicate_label	GO:0005623	rdfs:label	cell	
ERROR	multiple_definitions	BFO:0000004	IAO:0000115	A continuant that is a bearer of quality and realizable entity entities, in which other entities inhere and which itself cannot inhere in anything.@en	
