Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	N-{alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue	definition	An N-glycan residue involved in post-translational modification of proteins.
ERROR	duplicate_definition	N-{alpha-Glc-(1->3)-alpha-Glc-(1->3)-alpha-Man-(1->2)-alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->3)-[alpha-Man-(1->2)-alpha-Man-(1->6)]-alpha-Man-(1->6)]-beta-Man-(1->4)-beta-GlcNAc-(1->4)-beta-GlcNAc}-L-Asn residue	definition	An N-glycan residue involved in post-translational modification of proteins.
ERROR	duplicate_definition	rDNA_replication_fork_barrier	definition	A DNA motif that is found in eukaryotic rDNA repeats, and is a site of replication fork pausing.
ERROR	duplicate_definition	mating_type_region_replication_fork_barrier	definition	A DNA motif that is found in eukaryotic rDNA repeats, and is a site of replication fork pausing.
ERROR	multiple_equivalent_classes	increased sensitivity to chemical during vegetative growth	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid26050
ERROR	multiple_equivalent_classes	increased sensitivity to chemical during vegetative growth	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid26057
ERROR	multiple_equivalent_classes	regulation of molecular function	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid167872
ERROR	multiple_equivalent_classes	regulation of molecular function	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid167876
ERROR	multiple_equivalent_classes	regulation of establishment of protein localization	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid167970
ERROR	multiple_equivalent_classes	regulation of establishment of protein localization	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid167974
ERROR	multiple_equivalent_classes	regulation of microtubule cytoskeleton organization	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid168081
ERROR	multiple_equivalent_classes	regulation of microtubule cytoskeleton organization	owl:equivalentClass	d8e7aa33-b5ce-4cbf-bd0b-beb981cb3de4genid168085
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
ERROR	deprecated_class_reference	blank node	owl:someValuesFrom	<http://purl.obolibrary.org/obo/BTO_0000316>
