Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	FYPO:0000752	IAO:0000115	An increased chemical resistance phenotype observed in the vegetative growth phase of the life cycle in which cells grow in the presence of a higher concentration of selenate ions than normal.	
ERROR	duplicate_definition	FYPO:0000764	IAO:0000115	An increased chemical resistance phenotype observed in the vegetative growth phase of the life cycle in which cells grow in the presence of a higher concentration of selenate ions than normal.	
ERROR	duplicate_definition	FYPO:0000766	IAO:0000115	An increased chemical resistance phenotype observed in the vegetative growth phase of the life cycle in which cells grow in the presence of a higher concentration of selenate ions than normal.	
ERROR	duplicate_definition	FYPO:0003750	IAO:0000115	A physical cellular phenotype observed in the vegetative growth phase of the life cycle in which a cell contains a normal number of nuclear pore complexes.	
ERROR	duplicate_definition	FYPO:0006018	IAO:0000115	A physical cellular phenotype observed in the vegetative growth phase of the life cycle in which a cell contains a normal number of nuclear pore complexes.	
ERROR	duplicate_definition	FYPO:0002399	IAO:0000115	A physical cellular phenotype in which the amount, distribution, or morphology of all or part of the microtubule cytoskeleton is abnormal.	
ERROR	duplicate_definition	FYPO:0004315	IAO:0000115	A physical cellular phenotype in which the amount, distribution, or morphology of all or part of the microtubule cytoskeleton is abnormal.	
ERROR	duplicate_definition	FYPO:0004609	IAO:0000115	A physical cellular phenotype in which cells contain more spindle pole bodies (SPBs) than normal during one or both meiotic nuclear divisions. In this phenotype, extra SPBs typically contain normal components but seldom attach to spindle microtubules.	
ERROR	duplicate_definition	FYPO:0006801	IAO:0000115	A physical cellular phenotype in which cells contain more spindle pole bodies (SPBs) than normal during one or both meiotic nuclear divisions. In this phenotype, extra SPBs typically contain normal components but seldom attach to spindle microtubules.	
ERROR	duplicate_definition	FYPO:0003300	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the occurrence of ubiquitin-dependent protein degradation via the N-end rule pathway is decreased.	
ERROR	duplicate_definition	FYPO:0004545	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the occurrence of ubiquitin-dependent protein degradation via the N-end rule pathway is decreased.	
ERROR	duplicate_definition	FYPO:0001828	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the import of guanine into the cell does not occur.	
ERROR	duplicate_definition	FYPO:0005174	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the import of guanine into the cell does not occur.	
ERROR	duplicate_definition	FYPO:0005980	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the assembly of actin filament bundles is decreased.	
ERROR	duplicate_definition	FYPO:0006094	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which the assembly of actin filament bundles is decreased.	
ERROR	duplicate_definition	FYPO:0005827	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which protein transport along microtubules to the cell tip is normal (i.e. indistinguishable from wild type).	
ERROR	duplicate_definition	FYPO:0005828	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which protein transport along microtubules to the cell tip is normal (i.e. indistinguishable from wild type).	
ERROR	duplicate_definition	FYPO:0005830	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which protein transport along microtubules to the cell tip is abnormal. Transport of all proteins or a specific protein may be affected.	
ERROR	duplicate_definition	FYPO:0005831	IAO:0000115	A cellular process phenotype observed in the vegetative growth phase of the life cycle in which protein transport along microtubules to the cell tip is abnormal. Transport of all proteins or a specific protein may be affected.	
